index,Book Name,Book_average_rating,Book_ratings_count,Publishing Year,genre,gross sales,sale price,sales rank,Publisher,units sold
535,The Summer I Turned Pretty,3.96,104730,2009,fiction,610.47,3.99,596,"Amazon Digital Services,  Inc.",4131
536,Four to Score,4.17,106871,1998,fiction,151.47,0.99,597,"Amazon Digital Services,  Inc.",4131
537,The Color of Water: A Black Man's Tribute to His White Mother,4.06,80906,1996,fiction,151.47,0.99,598,"Amazon Digital Services,  Inc.",4131
538,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",3.95,85006,2009,fiction,1176.57,7.69,600,Penguin Group (USA) LLC,4131
539,Darkfever,4.14,110812,2006,fiction,1618.8,10.65,601,Penguin Group (USA) LLC,4104
540,Stone of Tears,4.1,83235,1995,fiction,1111.12,7.31,603,Penguin Group (USA) LLC,4104
541,Heart of the Matter,3.73,83461,2010,fiction,910.48,5.99,603,Simon and Schuster Digital Sales Inc,4104
542,Vanity Fair: A Novel Without a Hero,3.76,91323,1847,fiction,149.49,0.99,605,"Amazon Digital Services,  Inc.",4077
543,The Sirens of Titan,4.16,72493,1959,fiction,151,1,607,"Amazon Digital Services,  Inc.",4077
544,Dolores Claiborne,3.81,71053,1992,fiction,661.38,4.38,608,"Amazon Digital Services,  Inc.",4077
545,The Nest,3.45,79762,2016,nonfiction,1508.49,9.99,608,"Amazon Digital Services,  Inc.",4077
546,"Fables, Volume 1: Legends in Exile",3.99,101016,2001,fiction,1125,7.5,610,Penguin Group (USA) LLC,4050
547,Getting Things Done: How To Achieve Stress-free Productivity,3.98,75665,2001,fiction,598.5,3.99,611,"Amazon Digital Services,  Inc.",4050
548,The Celestine Prophecy,3.6,72675,1993,fiction,594.51,3.99,615,Penguin Group (USA) LLC,4023
549,My Life Next Door,4.02,102012,2012,fiction,594.51,3.99,615,Simon and Schuster Digital Sales Inc,4023
550,Winter of the World,4.29,71971,2012,nonfiction,1488.51,9.99,616,HarperCollins Publishing,4023
552,Lucky,3.77,77462,1999,unknown,1427.42,9.58,617,"Amazon Digital Services,  Inc.",4023
553,To The Lighthouse,3.76,83066,1927,fiction,1144.04,7.73,619,Macmillan,3996
554,Five Point Someone: What Not to Do at IIT,3.43,67438,2004,fiction,146.52,0.99,620,"Amazon Digital Services,  Inc.",3996
555,Guilty Pleasures,4.02,104252,1993,fiction,442.52,2.99,622,"Amazon Digital Services,  Inc.",3996
556,The Messenger,4.09,93119,2002,fiction,145.53,0.99,624,"Amazon Digital Services,  Inc.",3969
557,Far from the Madding Crowd,3.92,87427,1874,fiction,1997.73,13.59,624,HarperCollins Publishers,3969
558,Equal Rites,4,88673,1987,fiction,145.53,0.99,625,"Amazon Digital Services,  Inc.",3969
559,House of Leaves,4.13,75469,2000,fiction,439.53,2.99,625,"Amazon Digital Services,  Inc.",3969
560,Cruel & Unusual,4.11,83695,1993,fiction,439.53,2.99,626,"Amazon Digital Services,  Inc.",3969
561,Sycamore Row,3.98,56315,2013,fiction,1074.57,7.31,627,Penguin Group (USA) LLC,3969
562,Awakened,4.02,101234,2011,fiction,675.98,4.63,628,Hachette Book Group,3942
564,Life As We Knew It,3.89,94282,2006,nonfiction,1097.92,7.52,629,"Amazon Digital Services,  Inc.",3942
565,America (The Book): A Citizen's Guide to Democracy Inaction,4.02,74511,2004,nonfiction,1166.54,7.99,630,Random House LLC,3942
566,90 Minutes in Heaven,3.91,67937,2004,fiction,1251.22,8.57,631,"Amazon Digital Services,  Inc.",3942
567,The Longest Ride,4.14,71276,2012,fiction,144.54,0.99,631,"Amazon Digital Services,  Inc.",3942
569,Kane and Abel,4.27,74052,1979,fiction,723.55,4.99,632,"Amazon Digital Services,  Inc.",3915
570,Change of Heart,3.91,86471,2008,fiction,990.35,6.83,634,Simon and Schuster Digital Sales Inc,3915
571,Dry: A Memoir,4.01,70550,2003,unknown,1448.55,9.99,635,"Amazon Digital Services,  Inc.",3915
572,Sam's Letters To Jennifer,4.15,77538,2001,fiction,868.55,5.99,636,Hachette Book Group,3915
573,Grey,3.76,75320,2015,fiction,1134.72,7.88,637,Hachette Book Group,3888
574,Dune Messiah,3.86,82580,1969,fiction,570.57,3.99,641,"Amazon Digital Services,  Inc.",3861
575,The Great Divorce,4.28,75031,1945,fiction,1428.57,9.99,642,Penguin Group (USA) LLC,3861
576,Little Earthquakes,3.76,77592,2004,nonfiction,1072.5,7.5,645,Random House LLC,3861
577,Eventyr og historier,4.28,90999,1835,fiction,708.58,4.99,646,"Amazon Digital Services,  Inc.",3834
578,New Moon: The Complete Illustrated Movie Companion,4.34,82399,2009,fiction,1560.58,10.99,647,Penguin Group (USA) LLC,61560
579,Maybe Someday,4.33,81707,2014,fiction,969.86,6.83,649,Random House LLC,61128
580,Mr Maybe,3.41,78132,1999,fiction,562.59,3.99,651,"Amazon Digital Services,  Inc.",61128
581,Anne of the Island,4.21,97049,1915,fiction,139.59,0.99,652,Random House LLC,60696
582,Also sprach Zarathustra,4.05,65362,1883,fiction,1030.71,7.31,652,Penguin Group (USA) LLC,59400
583,North and South,4.13,95274,1854,fiction,562.59,3.99,653,"Amazon Digital Services,  Inc.",58968
584,A Stolen Life,3.89,72713,2011,fiction,558.6,3.99,655,"Amazon Digital Services,  Inc.",57240
585,The Immortals of Meluha,4,62784,2010,fiction,418.6,2.99,658,"Amazon Digital Services,  Inc.",56808
586,The Lost World,3.72,83389,1995,fiction,1398.6,9.99,658,"Amazon Digital Services,  Inc.",55728
587,Requiem,3.74,100593,2013,fiction,698.6,4.99,659,"Amazon Digital Services,  Inc.",55080
588,A Crown of Swords,4,86421,1996,nonfiction,137.61,0.99,661,"Amazon Digital Services,  Inc.",54000
589,Aesopica,4.05,88508,-560,fiction,693.61,4.99,663,"Amazon Digital Services,  Inc.",53784
590,Blood Meridian: Or the Evening Redness in the West,4.18,71095,1985,fiction,725.88,5.26,665,Penguin Group (USA) LLC,53784
591,Finale,4.22,107569,2012,fiction,1516.62,10.99,666,Penguin Group (USA) LLC,53784
592,Skeleton Crew,3.93,82320,1985,fiction,957.72,6.94,668,Random House LLC,53568
593,Lullaby,3.73,66713,2002,fiction,1094.63,7.99,671,Hachette Book Group,53352
594,Two States,3.42,67866,2009,fiction,836.4,6.15,675,"Amazon Digital Services,  Inc.",53352
596,Summer Knight,4.3,91012,2002,fiction,542.64,3.99,676,"Amazon Digital Services,  Inc.",52920
597,Dragonflight,4.1,95378,1968,fiction,133.65,0.99,679,"Amazon Digital Services,  Inc.",52488
598,"The History of the Hobbit, Part One: Mr. Baggins",3.81,108399,2007,fiction,538.65,3.99,680,"Amazon Digital Services,  Inc.",52488
599,Ugly Love,4.3,107583,2014,fiction,808.65,5.99,681,Random House LLC,52488
600,Chocolat,3.95,84770,1998,nonfiction,873.68,6.52,682,"Amazon Digital Services,  Inc.",52056
601,The Amityville Horror,3.82,80959,1977,fiction,1191.26,8.89,684,Hachette Book Group,52056
602,The English Patient,3.88,83741,1992,fiction,663.67,4.99,688,"Amazon Digital Services,  Inc.",51840
603,Gabriel's Rapture,4.22,91213,2012,fiction,530.67,3.99,689,"Amazon Digital Services,  Inc.",51624
604,Dubliners,3.85,73140,1914,fiction,397.67,2.99,690,Random House LLC,51408
605,Let the Great World Spin,3.93,71515,2009,fiction,394.68,2.99,692,"Amazon Digital Services,  Inc.",51192
606,The Eternity Code,4.04,94437,2003,fiction,394.68,2.99,692,"Amazon Digital Services,  Inc.",51192
607,Tell No One,4.11,78070,2001,fiction,394.68,2.99,693,"Amazon Digital Services,  Inc.",50976
608,The Tommyknockers,3.48,89262,1987,fiction,790.68,5.99,693,"Amazon Digital Services,  Inc.",50760
609,Hex Hall,3.96,109881,2010,fiction,526.68,3.99,693,"Amazon Digital Services,  Inc.",50544
610,Steal Like an Artist,3.86,93625,2010,fiction,130.68,0.99,694,"Amazon Digital Services,  Inc.",50328
611,Cryptonomicon,4.25,72683,1999,unknown,327.36,2.48,694,Random House LLC,50112
612,Beautiful Bastard,4.05,111668,2013,fiction,394.68,2.99,695,"Amazon Digital Services,  Inc.",49896
613,Prodigal Summer,3.98,78529,2000,fiction,260.69,1.99,696,Simon and Schuster Digital Sales Inc,49896
614,We Were the Mulvaneys,3.7,77251,1996,fiction,1395.15,10.65,698,Hachette Book Group,49680
615,Understanding Comics: The Invisible Art,3.98,77277,1993,nonfiction,129.69,0.99,699,"Amazon Digital Services,  Inc.",49680
616,Beautiful Darkness,3.84,95447,2010,nonfiction,260.69,1.99,700,HarperCollins Publishers,49248
617,The Psychopath Test,3.91,44097,2011,fiction,492.7,3.79,701,Macmillan,49032
618,Vanishing Acts,3.68,79662,2005,fiction,258.7,1.99,703,Random House LLC,48816
619,Absolute Power,4.15,72481,1995,fiction,1656.2,12.74,704,Macmillan,48816
620,Hot Six,4.18,99329,2000,fiction,514.71,3.99,705,"Amazon Digital Services,  Inc.",48600
621,The Time Keeper,3.85,72277,2012,fiction,127.71,0.99,707,"Amazon Digital Services,  Inc.",48384
622,A Dirty Job,4.08,78523,2006,nonfiction,127.71,0.99,707,"Amazon Digital Services,  Inc.",48168
623,Moneyball: The Art of Winning an Unfair Game,4.24,66406,2003,fiction,127.71,0.99,708,"Amazon Digital Services,  Inc.",47952
624,The Amulet of Samarkand,3.99,86062,2003,fiction,127.71,0.99,709,"Amazon Digital Services,  Inc.",47736
625,I Am America (And So Can You!),3.91,71023,2007,fiction,885.76,6.92,710,Penguin Group (USA) LLC,47520
626,The One Minute Manager,3.85,70241,1981,unknown,888.32,6.94,710,"Amazon Digital Services,  Inc.",47520
627,Exodus,4.33,77258,1958,fiction,1470.72,11.49,711,Random House LLC,47304
628,Stones from the River,4.07,80056,1994,fiction,787.2,6.15,712,"Amazon Digital Services,  Inc.",47304
629,The Big Sleep,4.04,84489,1939,fiction,126.72,0.99,713,"Amazon Digital Services,  Inc.",47088
630,Cannery Row,4.02,81598,1945,fiction,1153.28,9.01,713,HarperCollins Publishers,47088
631,Seriously...I'm Kidding,3.72,74358,2011,fiction,843.28,6.64,714,Hachette Book Group,46872
632,The Miserable Mill,3.83,101325,2000,fiction,1395.73,10.99,716,Penguin Group (USA) LLC,46872
633,The Snow Child,3.95,72328,2012,fiction,125.73,0.99,716,"Amazon Digital Services,  Inc.",46872
634,Wait for You,4.19,106236,2013,fiction,506.73,3.99,717,"Amazon Digital Services,  Inc.",46440
635,The Last Straw,4.11,82518,2009,fiction,502.74,3.99,719,"Amazon Digital Services,  Inc.",46440
636,La Divina Commedia,4.06,74130,1308,fiction,124.74,0.99,720,"Amazon Digital Services,  Inc.",46008
637,The Tao of Pooh,4.01,69975,1982,fiction,1198.75,9.59,724,HarperCollins Publishers,46008
638,Onyx,4.33,111448,2012,fiction,1127.5,9.02,725,Random House LLC,46008
639,"Unravel Me (Shatter Me, #2)",4.28,109183,2013,fiction,122.76,0.99,728,"Amazon Digital Services,  Inc.",45792
640,The Birth of Venus,3.79,78129,2003,fiction,370.76,2.99,730,"Amazon Digital Services,  Inc.",45576
641,The Opal Deception,4.04,95638,2005,fiction,121.77,0.99,733,"Amazon Digital Services,  Inc.",45360
643,The Girls,3.49,76761,2016,fiction,974.78,7.99,737,Random House LLC,44928
644,The Goose Girl,4.18,92952,2003,fiction,120.78,0.99,738,Simon and Schuster Digital Sales Inc,44280
645,Mystic River,4.19,86103,2001,fiction,1096.78,8.99,739,Random House LLC,43848
646,Warm Bodies,3.93,66381,2010,fiction,486.78,3.99,740,"Amazon Digital Services,  Inc.",43848
647,The Prince and the Pauper,3.84,84682,1881,fiction,966.79,7.99,741,Random House LLC,43416
648,The Moon is a Harsh Mistress,4.17,80366,1966,fiction,930.49,7.69,743,Penguin Group (USA) LLC,43416
649,The Forty Rules of Love,4.17,35283,2010,fiction,119.79,0.99,743,"Amazon Digital Services,  Inc.",43416
650,High Five,4.17,92737,1999,unknown,671.55,5.55,745,"Amazon Digital Services,  Inc.",43200
651,Joyland,3.9,75018,2013,fiction,118.8,0.99,746,"Amazon Digital Services,  Inc.",42768
653,Tender Is the Night,3.83,79008,1933,fiction,118.8,0.99,750,"Amazon Digital Services,  Inc.",42120
654,Cold Sassy Tree,3.99,82281,1984,fiction,950.81,7.99,751,Random House LLC,42120
655,The Glass Menagerie,3.67,90032,1945,nonfiction,117.81,0.99,752,"Amazon Digital Services,  Inc.",41904
656,L'amica geniale,3.88,64637,2011,nonfiction,912.73,7.67,753,Random House LLC,41472
657,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",3.84,66129,2007,fiction,355.81,2.99,757,"Amazon Digital Services,  Inc.",41256
658,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,3.77,52031,1996,fiction,117.81,0.99,759,"Amazon Digital Services,  Inc.",40824
659,Rules of Civility,3.99,75541,2011,fiction,712.81,5.99,760,Penguin Group (USA) LLC,40824
660,Ringworld,3.96,76925,1970,fiction,117.81,0.99,760,"Amazon Digital Services,  Inc.",40176
661,Between Shades of Gray,4.36,87718,2011,fiction,236.81,1.99,761,"Amazon Digital Services,  Inc.",40176
662,Frindle,3.79,83351,1996,fiction,712.81,5.99,762,Macmillan,39960
663,Dog Days,4.14,78592,2009,fiction,474.81,3.99,764,"Amazon Digital Services,  Inc.",39744
664,The Round House,3.91,67928,2012,fiction,355.81,2.99,764,"Amazon Digital Services,  Inc.",39312
665,A Wind in the Door,4.07,87277,1973,fiction,355.81,2.99,765,"Amazon Digital Services,  Inc.",39312
666,Free Four: Tobias Tells the Divergent Story,4.18,81621,2012,nonfiction,1188.81,9.99,765,Hachette Book Group,38880
667,A Little Life,4.27,66782,2015,fiction,355.81,2.99,766,"Amazon Digital Services,  Inc.",38664
668,"Y: The Last Man, Vol. 1: Unmanned",4.12,81326,2003,fiction,117.81,0.99,767,"Amazon Digital Services,  Inc.",38664
669,The Alloy of Law,4.2,72185,2011,fiction,593.81,4.99,768,"Amazon Digital Services,  Inc.",38448
670,Dead Reckoning,3.77,87066,2011,nonfiction,117.81,0.99,770,"Amazon Digital Services,  Inc.",38448
671,The Accidental Tourist,3.9,80075,1985,fiction,784.21,6.59,770,"Amazon Digital Services,  Inc.",38448
672,Aristotle and Dante Discover the Secrets of the Universe,4.34,108884,2012,fiction,1082.9,9.1,770,"Amazon Digital Services,  Inc.",38232
673,The Invisible Man,3.62,84778,1897,fiction,117.81,0.99,772,Macmillan,38016
675,Na margem do rio Piedra eu sentei e chorei,3.57,62106,1994,fiction,915.11,7.69,775,Random House LLC,37584
676,Der Schweizerische Robinson,3.92,78355,1812,fiction,355.81,2.99,779,"Amazon Digital Services,  Inc.",37584
677,Four Past Midnight,3.9,76376,1990,nonfiction,640.22,5.38,779,HarperCollins Publishers,37368
678,The Marriage Bargain,3.81,91630,2012,fiction,1307.81,10.99,781,Random House LLC,37368
679,Anne of Avonlea,4.21,99918,1909,fiction,117.81,0.99,782,"Amazon Digital Services,  Inc.",37368
680,The Little Engine That Could,4.15,82102,1930,fiction,593.81,4.99,783,"Amazon Digital Services,  Inc.",37152
681,We Are All Completely Beside Ourselves,3.71,59973,2013,fiction,355.81,2.99,783,"Amazon Digital Services,  Inc.",37152
682,Children of the Mind,3.74,74517,1996,fiction,1022.21,8.59,784,"Amazon Digital Services,  Inc.",36936
683,Ulysses,3.74,76791,1922,fiction,117.81,0.99,786,"Amazon Digital Services,  Inc.",36936
684,Someone Like You,3.94,84358,1998,nonfiction,355.81,2.99,786,Simon and Schuster Digital Sales Inc,36936
685,Moloka'i,4.15,75307,2003,nonfiction,950.81,7.99,787,HarperCollins Christian Publishing,36720
686,The Witching Hour,4.1,79824,1990,nonfiction,357.54,3.03,789,"Amazon Digital Services,  Inc.",36504
687,This Present Darkness,4.24,71815,1986,fiction,352.82,2.99,791,"Amazon Digital Services,  Inc.",36504
688,The Coincidence of Callie & Kayden,4.21,97615,2012,fiction,116.82,0.99,792,"Amazon Digital Services,  Inc.",36504
689,Fates and Furies,3.56,66085,2015,fiction,862.58,7.31,792,HarperCollins Publishers,36504
690,Summer Sisters,3.83,73515,1998,fiction,862.58,7.31,794,Penguin Group (USA) LLC,36504
691,Stuart Little,3.88,89033,1945,fiction,352.82,2.99,797,"Amazon Digital Services,  Inc.",36504
692,The Foundation Trilogy,4.39,72311,1953,fiction,1060.82,8.99,797,HarperCollins Publishers,36504
693,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",4.06,32626,1999,fiction,352.82,2.99,798,"Amazon Digital Services,  Inc.",36288
694,The Austere Academy,3.97,99311,2000,fiction,116.82,0.99,799,"Amazon Digital Services,  Inc.",36288
695,Seven Up,4.15,94506,2001,fiction,1320.42,11.19,800,HarperCollins Publishers,36072
696,The Awakening,4.16,95026,2009,fiction,761.1,6.45,802,Simon and Schuster Digital Sales Inc,36072
697,Death Masks,4.32,83664,2003,unknown,654.9,5.55,802,"Amazon Digital Services,  Inc.",36072
698,Stellaluna,4.22,87423,1993,fiction,116.82,0.99,803,"Amazon Digital Services,  Inc.",36072
699,Before They Are Hanged,4.27,68865,2007,fiction,116.82,0.99,804,Random House LLC,35856
700,Loving Frank,3.73,72734,2007,fiction,824.82,6.99,804,Hachette Book Group,35640
701,Hard Eight,4.17,93057,2002,nonfiction,1060.82,8.99,805,Random House LLC,35640
702,The Vile Village,3.94,89733,2001,fiction,706.82,5.99,808,Penguin Group (USA) LLC,35640
703,Sybil,3.99,72493,1973,nonfiction,502.68,4.26,809,HarperCollins Publishing,35640
704,Cosmos,4.35,76440,1980,nonfiction,1131.62,9.59,810,Penguin Group (USA) LLC,35640
705,Haunted: A Novel of Stories,3.59,68861,2005,fiction,234.82,1.99,810,Simon and Schuster Digital Sales Inc,35424
706,The Shell Seekers,4.13,73573,1987,fiction,588.82,4.99,811,"Amazon Digital Services,  Inc.",35424
707,What Is the What: The Autobiography of Valentino Achak Deng,4.16,59333,2006,fiction,1680.32,14.24,811,Penguin Group (USA) LLC,35424
709,A Scandal in Bohemia,4.22,65422,1891,nonfiction,352.82,2.99,814,"Amazon Digital Services,  Inc.",35208
710,Killing Lincoln: The Shocking Assassination that Changed America Forever,4.02,71868,2011,unknown,872.02,7.39,816,"Amazon Digital Services,  Inc.",35208
711,The Lowland,3.82,62231,2013,fiction,470.82,3.99,818,"Amazon Digital Services,  Inc.",35208
712,The Ruins of Gorlan,4.2,83085,2004,nonfiction,824.82,6.99,818,Random House LLC,34992
713,Wintergirls,3.98,87665,2009,fiction,352.82,2.99,819,"Amazon Digital Services,  Inc.",34992
714,The Brethren,3.71,69351,2000,fiction,942.82,7.99,820,Penguin Group (USA) LLC,34992
715,Assassin's Quest,4.18,67125,1997,fiction,470.82,3.99,821,"Amazon Digital Services,  Inc.",34776
716,Rosemary's Baby,3.96,78766,1967,fiction,588.82,4.99,823,"Amazon Digital Services,  Inc.",34776
717,The Talisman,4.12,79508,1984,nonfiction,234.82,1.99,823,"Amazon Digital Services,  Inc.",34776
718,The Path of Daggers,3.9,74815,1998,fiction,234.82,1.99,824,"Amazon Digital Services,  Inc.",34560
719,The Dharma Bums,3.94,62454,1958,unknown,725.7,6.15,825,"Amazon Digital Services,  Inc.",34560
720,The Reckoning,4.21,92922,2010,fiction,466.83,3.99,826,"Amazon Digital Services,  Inc.",34560
721,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",3.97,69596,2012,fiction,934.83,7.99,827,Random House LLC,34344
722,Mary Poppins,4.05,82706,1934,fiction,349.83,2.99,830,"Amazon Digital Services,  Inc.",34128
723,Red Seas Under Red Skies,4.23,68255,2007,fiction,349.83,2.99,831,"Amazon Digital Services,  Inc.",34128
724,The House on Mango Street,3.57,81579,1984,fiction,115.83,0.99,832,"Amazon Digital Services,  Inc.",34128
725,City of Thieves,4.28,68063,2008,fiction,232.83,1.99,832,HarperCollins Publishers,34128
726,Halfway to the Grave,4.18,106608,2007,fiction,232.83,1.99,834,"Amazon Digital Services,  Inc.",33912
727,The Twits,3.94,82458,1980,fiction,855.27,7.31,836,Random House LLC,33696
728,Abhorsen,4.29,80740,2003,nonfiction,1519.83,12.99,836,"Amazon Digital Services,  Inc.",33696
729,The Beach House,3.82,68676,2002,fiction,466.83,3.99,837,"Amazon Digital Services,  Inc.",33480
730,Eyes of the Dragon,3.92,72714,1987,nonfiction,700.83,5.99,837,HarperCollins Publishers,33264
731,Children of Dune,3.9,74133,1976,fiction,115.83,0.99,838,"Amazon Digital Services,  Inc.",33264
732,Leviathan Wakes,4.2,68416,2011,nonfiction,1689.48,14.44,840,HarperCollins Publishers,33048
733,Queen of Shadows,4.6,99067,2015,fiction,349.83,2.99,841,Macmillan,33048
734,Maus II : And Here My Troubles Began,4.41,90147,1991,nonfiction,583.83,4.99,842,Hachette Book Group,32832
735,The Snowy Day,4.13,81914,1962,fiction,1170,10,843,"Amazon Digital Services,  Inc.",32832
736,To the Nines,4.16,86963,2003,fiction,1402.83,11.99,844,Penguin Group (USA) LLC,32832
737,Where We Belong,3.86,68224,2012,nonfiction,115.83,0.99,845,"Amazon Digital Services,  Inc.",32616
738,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,4.1,72207,1994,fiction,349.83,2.99,846,"Amazon Digital Services,  Inc.",32616
740,The Signature of All Things,3.81,61135,2012,nonfiction,232.83,1.99,848,"Amazon Digital Services,  Inc.",32400
741,"Eats, Shoots and Leaves",3.86,79117,2003,fiction,466.83,3.99,852,"Amazon Digital Services,  Inc.",32184
742,Dead Witch Walking,4.04,91390,2004,nonfiction,349.83,2.99,852,"Amazon Digital Services,  Inc.",32184
743,,4.36,81553,1986,fiction,466.83,3.99,853,"Amazon Digital Services,  Inc.",32184
744,An Echo in the Bone,4.42,68854,2009,fiction,1391.13,11.89,854,Simon and Schuster Digital Sales Inc,32184
745,Unearthly,4.06,99942,2011,fiction,232.83,1.99,857,Hachette Book Group,31968
746,The Case for Christ,4.1,67128,1988,fiction,799.11,6.83,859,Macmillan,31752
747,Knife of Dreams,4.12,71379,2005,fiction,349.83,2.99,860,"Amazon Digital Services,  Inc.",31752
748,Hoot,3.81,75275,2002,fiction,583.83,4.99,862,Penguin Group (USA) LLC,31752
750,This is How You Lose Her,3.75,66720,2012,nonfiction,624.08,5.38,865,"Amazon Digital Services,  Inc.",31536
752,Ishmael: An Adventure of the Mind and Spirit,3.97,63304,1992,fiction,892.04,7.69,867,Random House LLC,31536
753,It's Not Summer Without You,4.14,80367,2010,fiction,346.84,2.99,868,"Amazon Digital Services,  Inc.",31536
754,Pushing the Limits,4.08,93818,2012,fiction,462.84,3.99,869,"Amazon Digital Services,  Inc.",31320
755,Quidditch Through the Ages,3.85,90908,2001,fiction,114.84,0.99,869,Random House LLC,31320
756,Miss Nelson Is Missing!,4.26,77206,1977,fiction,1158.84,9.99,871,Penguin Group (USA) LLC,31320
757,The Long Walk,4.11,71775,1979,nonfiction,462.84,3.99,871,Hachette Book Group,31320
758,The Ersatz Elevator,4.01,90071,2001,nonfiction,230.84,1.99,873,Random House LLC,31104
759,Messenger,3.9,79746,2004,fiction,462.84,3.99,877,"Amazon Digital Services,  Inc.",30888
760,Lover Revealed,4.3,97830,2007,fiction,694.84,5.99,879,"Amazon Digital Services,  Inc.",30888
761,'Salem's Lot The Illustrated Edition,4.25,72797,2005,fiction,770.24,6.64,879,Hachette Book Group,30672
762,The Mysterious Benedict Society,4.14,87335,2007,fiction,114.84,0.99,881,"Amazon Digital Services,  Inc.",30672
763,God is Not Great: How Religion Poisons Everything,3.96,64347,2007,unknown,694.84,5.99,883,"Amazon Digital Services,  Inc.",30456
764,"Never Too Far (Too Far, #2)",4.21,97616,2013,fiction,114.84,0.99,884,"Amazon Digital Services,  Inc.",30456
765,State of Fear,3.69,65397,2004,fiction,114.84,0.99,885,"Amazon Digital Services,  Inc.",30240
766,The Statistical Probability of Love at First Sight,3.8,89356,2012,fiction,114.84,0.99,886,"Amazon Digital Services,  Inc.",30240
767,The Golem's Eye,4.09,69058,2004,nonfiction,810.84,6.99,886,Simon and Schuster Digital Sales Inc,29808
768,Still Life with Woodpecker,4.04,56802,1980,fiction,346.84,2.99,887,"Amazon Digital Services,  Inc.",29808
769,Those Who Save Us,4.12,68480,2004,fiction,114.84,0.99,890,"Amazon Digital Services,  Inc.",29808
770,The Broker,3.77,65428,2005,fiction,114.84,0.99,892,"Amazon Digital Services,  Inc.",29592
771,Across the Universe,3.78,94176,2011,fiction,462.84,3.99,892,"Amazon Digital Services,  Inc.",29376
772,"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",4.03,61238,1978,nonfiction,1042.84,8.99,893,"Amazon Digital Services,  Inc.",29160
773,Blood Rites,4.33,79627,2004,nonfiction,1041.68,8.98,894,"Amazon Digital Services,  Inc.",28944
774,The Boxcar Children,4.09,92916,1942,fiction,1506.84,12.99,894,Simon and Schuster Digital Sales Inc,28944
775,The Silent Wife,3.3,60323,2013,nonfiction,784.16,6.76,897,"Amazon Digital Services,  Inc.",28728
776,How to Be a Woman,3.73,70446,2011,fiction,346.84,2.99,898,"Amazon Digital Services,  Inc.",28512
777,A Court of Mist and Fury,4.72,108384,2016,fiction,1158.84,9.99,900,Simon and Schuster Digital Sales Inc,28512
778,Life,3.84,60409,2010,fiction,926.84,7.99,900,Random House LLC,28512
779,Unaccustomed Earth,4.11,60126,2008,fiction,458.85,3.99,903,"Amazon Digital Services,  Inc.",28296
780,The Pilot's Wife,3.5,71777,1998,fiction,1367.35,11.89,904,Simon and Schuster Digital Sales Inc,28296
781,White Noise,3.86,55678,1985,fiction,573.85,4.99,905,"Amazon Digital Services,  Inc.",28296
782,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",4.42,66079,1992,fiction,343.85,2.99,907,"Amazon Digital Services,  Inc.",2943
783,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,3.97,64162,1859,fiction,1033.85,8.99,909,HarperCollins Publishers,2943
784,Blankets,4.06,70454,2003,fiction,343.85,2.99,909,"Amazon Digital Services,  Inc.",2943
785,The Story of Edgar Sawtelle,3.6,70382,2008,nonfiction,343.85,2.99,910,"Amazon Digital Services,  Inc.",2943
786,Drowning Ruth,3.73,67768,2000,fiction,573.85,4.99,911,"Amazon Digital Services,  Inc.",2916
787,Post Office,4.01,59295,1971,nonfiction,343.85,2.99,913,HarperCollins Publishers,2916
788,All the Pretty Horses,3.97,68451,1992,fiction,458.85,3.99,914,"Amazon Digital Services,  Inc.",2916
789,"Sherlock Holmes: The Complete Novels and Stories, Vol 2",4.46,66857,1914,nonfiction,1263.85,10.99,914,Random House LLC,2916
790,"One Piece, Volume 01",4.42,67047,1997,fiction,458.85,3.99,915,"Amazon Digital Services,  Inc.",2916
791,The Last Unicorn,4.18,76277,1968,fiction,343.85,2.99,916,"Amazon Digital Services,  Inc.",2916
792,Magyk,3.8,86805,2005,fiction,343.85,2.99,917,"Amazon Digital Services,  Inc.",2916
793,Fever 1793,3.89,81945,2000,fiction,458.85,3.99,918,"Amazon Digital Services,  Inc.",2916
794,The Likeness,4.05,72480,2008,fiction,803.85,6.99,920,Penguin Group (USA) LLC,2916
795,Dead Wake: The Last Crossing of the Lusitania,4.07,61439,2015,fiction,930.35,8.09,921,Penguin Group (USA) LLC,2916
796,The Jungle Book,3.94,67107,1894,fiction,113.85,0.99,922,"Amazon Digital Services,  Inc.",2916
797,I Am Pilgrim,4.23,49740,2013,fiction,573.85,4.99,924,"Amazon Digital Services,  Inc.",2916
798,Howl and Other Poems,4.14,71968,1956,nonfiction,1269.6,11.04,926,HarperCollins Publishers,2916
799,Don't Sweat the Small Stuff,3.95,63324,1997,fiction,884.35,7.69,927,Random House LLC,2916
